"diceShort","Bir zar atar"
"diceDesc","1 ile belirli bir sayı arasında bir zar atar."
"servericonShort","Sunucunun simgesini gönderir"
"servericonDesc","Geçerli sunucunun simgesini tam çözünürlükte yayınlar."
"pokeShort","Bir Pokémon yakaladı!"
"pokeDesc","Sizin için bir Pokémon yakalar, Pokémon Legends'a kadar tüm Pokémonlar: Arceus'a kadar tüm Pokémonlar mevcut!"
"pokedexShort","Pokedeksinizi görüntüler"
"pokedexDesc","Pokedex'inizde yakaladığınız tüm Pokémonları gösterir."
"helpShort","Bu mesajı gösterir"
"helpDesc","Mevcut tüm komutları veya belirli bir komutun ayrıntılarını gösterir."
"levelShort","Seviyenizi ve XP'nizi görüntüler"
"levelDesc","Seviyenizi ve XP'nizi gösterir, daha fazlasını değil."
"pokerankShort","En iyi KannaSucre Pokémon eğitmenlerini gösterir!"
"pokerankDesc","Botun en iyi 10 Pokémon eğitmenini görüntüler!"
"standShort","Atanmış standınızı görüntüler"
"standDesc","Atanmış JJBA standınızı görüntüler, standınız size bağlıdır ve değişmez."
"usericonShort","Bir kullanıcının simgesini görüntüler"
"usericonDesc","Verilen kullanıcının simgesini görüntüler."
"pruneShort","Bir kullanıcının mesajlarını siler"
"pruneDesc","Her kanaldan son 200 mesaj arasında adı geçen kullanıcının tüm mesajlarını siler."
"rollsShort","Poke komutunun kişisel ayrıntılarını göster."
"rollsDesc","Ne kadar pokéball'unuz olduğunu ve bir sonraki ücretsiz pokéball'unuzun ne zaman olacağını gösterir."
"pokeinfoShort","Bir Pokémon'un bilgilerini görüntüler"
"pokeinfoDesc","Belirli bir Pokémon hakkında bazı bilgileri görüntüler. Bunu pokedex kimliği veya Pokémon adı ile kullanabilirsiniz!"
"announceShort","Bir kanala özel bir mesaj gönderir"
"announceDesc","Tanımlanmış bir kanala özel bir mesaj gönderir, kullanıcı adınız alıntılanacaktır."
"languageShort","Botun dilini değiştirir!"
"languageDesc","Botun mesaj göndereceği dili değiştirir, şu anda sadece Fransızca, İngilizce ve Türkçe dilleri kullanılabilir."
"supportserverShort","KannaSucre'nin sunucusuna bir inite gönderiyor!"
"supportserverDesc","Yardım almak veya önerilerde bulunmak için KannaSucre'nin destek sunucusuna katılmak için bir bağlantı gönderir."
"togglelevelsShort","Seviye özelliğini değiştirir"
"togglelevelsDesc","Seviye özelliğini açar veya kapatır. Varsayılan değer kapalıdır."
"helpTitle","KannaSucre`nin yardım komutu, {command} komutudur :"
"helpCatAdmin","__Yönetici komutları :__"
"helpCatMod","__Moderasyon komutları :__"
"helpCatUtil","__Kullanım komutları :__"
"helpCatMisc","__Muhtelif/Eğlenceli komutlar :__"
"helpBigTitle","Kannasucre yardım et:"
"helpUserPerms","Kullanıcı permaları :"
"helpKannaPerms","Kanna`nın permaları :"
"helpNo","hayır"
"helpYes","evet"
"helpMorePerms","Botun bu komutu çalıştırmak için hedeften daha fazla permaya ihtiyacı var mı?"
"helpExample","Örnek :"
"helpNoCommand","{name}` adında bir komut bulunamadı."
"giveawayDesc","Tanımlanmış bir kanalda tanımlanmış bir süre boyunca süren yeni bir hediye oluşturur!"
"giveawayShort","Yeni bir hediye yaratır!"
"giveawayCreated","Çekiliş oluşturuldu!"
"giveawayNoDuration","Lütfen bir süre girin."
"giveawayStarted","Yeni bir çekiliş başladı!"
"giveawayDuration","Süre :"
"giveawayDays","{days} gün "
"giveawayHours","{hours} saat "
"giveawayMinutes","{minutes} dakika "
"giveawayEnds","Bitecek :"
"giveawayNone","Hiçbiri"
"giveawayPrize","Ödül :"
"giveawayRegister","Kayıt!"
"giveawayAlreadyRegistered","Çekilişe zaten katıldın!"
"giveawayRegistered","Çekilişe başarılı bir şekilde kayıt oldunuz!"
"giveawayMissRole","Üzgünüm ama bu çekilişe katılmak için gerekli role sahip değilsin."
"giveawayEnded","Bu çekiliş mevcut değil, muhtemelen sona ermiştir!"
"giveawayRole","Gerekli rol :"
"giveawayLost","Bu çekiliş sona erdi ama kimse katılmadı :/"
"giveawayWon","Çekiliş **{number}** kişinin katılımıyla sona erdi!\n{prize} kazanan <@{userId}>'yi tebrik ederim!"
"pokeinfoLinktype0","Uyarı! Sugimori tarzı sprite'lara geçtiniz. Bu sprite'lar daha iyi görünüyor, ancak birçok alternatif formu kaçırıyor. Bu, Pokémon formları arasındaki farkı göremeyeceğiniz, ancak yine de onları elde edeceğiniz anlamına gelir."
"pokeinfoLinktype1","HOME sprite'larına geçtiniz."
"giveawayPrefix","Üzgünüm ama giveaway komutunun bir önek komutu olarak yorumlanamayacak kadar çok ayarı var, bunun yerine `/giveaway` komutunu deneyin!"
"clearDelete","Siliyorum!"
"levelUpRole","Tebrikler {user}, artık {number} seviyesindesiniz!\nÖdül olarak `{role}` rolünü aldınız!"
"cancel","İptal"
"refresh","Yenile"
"editlevelNoReward","Seviye ödülü yok."
"editLevelReward","Seviye {level}: <@&{roleID}>\n"
"editlevelTitle","{guild}'nın seviye ödülleri"
"editlevelFooter","Seviye ödülleri eklemek için /addlevel komutunu kullanın!"
"editlevelDeleteLabel","Seviyeyi sil."
"editlevelChooseDelete","Silmek için bir seviye seçin."
"editlevelDeleted","Seviye {level}` rol ödülü silindi."
"addlevelSuccess","Seviye {level} için `@{role}` rol ödülü oluşturuldu!"
"addlevelFailure","Seviye {level} için zaten bir seviye ödülü var."
"addlevelEveryone","Geçerli rolü gir!"
"addlevelShort","Seviye ödülünü ekler"
"addlevelDesc","Belirli bir KannaSucre seviyesine ulaştıklarında üyelerinize roller vermek için bir otomasyon kurun!"
"editlevelsShort","Seviye ödüllerini düzenle"
"editlevelsDesc","Mevcut sunucu seviyesi ödüllerini görüntüleyin ve silin!"
"servrankEmpty","Henüz seviye yok, /togglelevels ile etkinleştirin!"
"servrankRanking","{guild}'nın seviye sıralaması :"
"servrankLevel","{username}`nın: Seviyesi {level}"
"type","Tıp(ler)"
"poketype0","Normel"
"poketype1","Ateş"
"poketype2","Su"
"poketype3","Elektrik"
"poketype4","Çimen"
"poketype5","Buz"
"poketype6","Savaşmak"
"poketype7","Zehir"
"poketype8","Zemin"
"poketype9","Uçuyor"
"poketype10","Psişik"
"poketype11","Hata"
"poketype12","Kaya"
"poketype13","Hayalet"
"poketype14","Ejderha"
"poketype15","Karanlık"
"poketype16","Çelik"
"poketype17","Peri"
"pokedexSort0","Pokedex kimliği"
"pokedexSort1","Nadirlik (Artan)"
"pokedexSort2","Nadirlik (Azalan)"
"pokedexSort3","Önce parlaklar"
"pokedexSortByWhat","Neye göre sıralayayım?"
"buttonSort","Sırala"
